                          _
  ___   ____   _ _   ___ (_)  ___   ____   _ __   ____
 / __\ / __ \ | '_ \/_  '| | / __\ / __ \ | '__\ / __ \
2018-05-26 19:09:53 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Nerdulería feed
2018-05-26 19:09:53 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:53 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Nerdulería -> 0
2018-05-26 19:09:53 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading La Cueva Del Nerd feed
2018-05-26 19:09:53 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:53 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for La Cueva Del Nerd -> 0
2018-05-26 19:09:53 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Atomix Podcast feed
2018-05-26 19:09:54 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:54 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Atomix Podcast -> 0
2018-05-26 19:09:54 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Sayonara Podcast feed
2018-05-26 19:09:54 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:54 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Sayonara Podcast -> 0
2018-05-26 19:09:54 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading El FrikiPodcast feed
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for El FrikiPodcast -> 0
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Comic Geekos feed
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Comic Geekos -> 0
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading El Café Comiquero feed
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for El Café Comiquero -> 0
2018-05-26 19:09:55 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Capitán Pada feed
2018-05-26 19:09:56 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:56 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Capitán Pada -> 0
2018-05-26 19:09:56 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Persona No Sekai feed
2018-05-26 19:09:57 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:09:57 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Persona No Sekai -> 0
2018-05-26 19:09:57 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Desde Abajo feed
